category,country,state,subCategory,profit,sales
Furniture,Switzerland,Zürich,Chairs,1303.5,3159.12
Furniture,Venezuela,Zulia,Furnishings,-49.192,267.228
Furniture,Venezuela,Zulia,Chairs,-39.804,198.576
Furniture,Venezuela,Zulia,Bookcases,-76.368,569.772
Furniture,Senegal,Ziguinchor,Furnishings,12.66,31.74
Furniture,China,Zhejiang,Tables,59.166000000,2076.606
Furniture,China,Zhejiang,Furnishings,126.06,353.73
Furniture,China,Zhejiang,Chairs,274.71,1203.6
Furniture,China,Zhejiang,Bookcases,1042.2,5191.17
Furniture,Denmark,Zealand,Furnishings,-229.488,160.992
Furniture,Denmark,Zealand,Chairs,-11.505,31.935
Furniture,Ukraine,Zaporizhzhya,Furnishings,17.58,220.08
Furniture,Ukraine,Zaporizhzhya,Bookcases,73.08,1463.64
Furniture,Iran,Zanjan,Furnishings,5.49,109.98
Furniture,Iran,Zanjan,Chairs,125.25,516.96
Furniture,Iran,Zanjan,Bookcases,58.86,196.2
Furniture,Mozambique,Zambezia,Furnishings,41.46,350.85
Furniture,Mozambique,Zambezia,Chairs,63.03,180.12
Furniture,Mozambique,Zambezia,Bookcases,210.48,756.6
Furniture,Croatia,Zagrebacka,Bookcases,338.34,825.36
Furniture,Mexico,Zacatecas,Chairs,10.804,96.064
Furniture,Mexico,Zacatecas,Bookcases,-7.712,153.568
Furniture,China,Yunnan,Furnishings,23.28,47.52
Furniture,China,Yunnan,Chairs,219.54,1156.11
Furniture,China,Yunnan,Bookcases,559.32,2760.42
Furniture,Mexico,Yucatán,Furnishings,-66.612,357.888
Furniture,Mexico,Yucatán,Chairs,241.756,3343.136
Furniture,Mexico,Yucatán,Bookcases,240.968,1436.528
Furniture,Honduras,Yoro,Furnishings,-21.488,66.192
Furniture,Honduras,Yoro,Chairs,-36.048,63.612
Furniture,Honduras,Yoro,Bookcases,-52.56,242.4
Furniture,Indonesia,Yogyakarta,Furnishings,12.5817,430.1817
Furniture,Indonesia,Yogyakarta,Chairs,95.097900000,1341.1779
Furniture,Indonesia,Yogyakarta,Bookcases,576.4665,2941.6365
Furniture,Nigeria,Yobe,Bookcases,-539.292,425.988
Furniture,Russia,Yevrey,Bookcases,56.1,244.08
Furniture,Iran,Yazd,Bookcases,45.33,122.58
Furniture,Russia,Yaroslavl',Chairs,69.99,228.24
Furniture,Myanmar (Burma),Yangon,Tables,-1602.7854,2095.9146
Furniture,Myanmar (Burma),Yangon,Furnishings,-120.6309,963.3591
Furniture,Myanmar (Burma),Yangon,Chairs,-602.5614,8847.4686
Furniture,Myanmar (Burma),Yangon,Bookcases,-336.5169,2602.1331
Furniture,Japan,Yamaguchi,Chairs,228.36,951.72
Furniture,Japan,Yamaguchi,Bookcases,492.6,1693.2
Furniture,China,Xinjiang Uygur,Furnishings,173.34,667.08
Furniture,China,Xinjiang Uygur,Chairs,21,262.86
Furniture,China,Xinjiang Uygur,Bookcases,267.57,1115.37
Furniture,United States,Wyoming,Chairs,100.196,1603.136
Furniture,Somalia,Woqooyi Galbeed,Furnishings,6.84,48.93
Furniture,United States,Wisconsin,Tables,147.5022,867.66
Furniture,United States,Wisconsin,Furnishings,303.2688,1020.04
Furniture,United States,Wisconsin,Chairs,2737.4205,11494.95
Furniture,United States,Wisconsin,Bookcases,650.763,3873.96
Furniture,Philippines,Western Visayas,Furnishings,89.91,537.57
Furniture,Philippines,Western Visayas,Chairs,-157.5675,1390.7925
Furniture,South Africa,Western Cape,Tables,969.69,2375.46
Furniture,South Africa,Western Cape,Furnishings,121.17,401.34
Furniture,South Africa,Western Cape,Chairs,850.68,4694.37
Furniture,South Africa,Western Cape,Bookcases,76.02,290.07
Furniture,Australia,Western Australia,Tables,-424.086,7677.684
Furniture,Australia,Western Australia,Furnishings,509.13,2378.97
Furniture,Australia,Western Australia,Chairs,3122.547,20553.777
Furniture,Australia,Western Australia,Bookcases,1995.804,14500.644
Furniture,Sri Lanka,Western,Chairs,4.32,445.5
Furniture,United States,West Virginia,Tables,-76.9536,673.344
Furniture,Belgium,West Flanders,Chairs,118.2,657.15
Furniture,India,West Bengal,Furnishings,143.22,829.53
Furniture,India,West Bengal,Chairs,200.97,2739.84
Furniture,India,West Bengal,Bookcases,508.5,2826.57
Furniture,New Zealand,Wellington,Tables,1571.16,6150.48
Furniture,New Zealand,Wellington,Furnishings,122.55,672.09
Furniture,New Zealand,Wellington,Chairs,1596.48,4881
Furniture,New Zealand,Wellington,Bookcases,1306.38,5034.93
Furniture,United States,Washington,Tables,4875.99,25062.32
Furniture,United States,Washington,Furnishings,1054.8443,3426.5
Furniture,United States,Washington,Chairs,692.945300000,16386.872
Furniture,United States,Washington,Bookcases,570.0054,3144.46
Furniture,United Kingdom,Wales,Furnishings,-56.592,141.288
Furniture,New Zealand,Waikato,Tables,1607.94,8909.1
Furniture,New Zealand,Waikato,Furnishings,19.02,100.32
Furniture,New Zealand,Waikato,Chairs,799.62,4148.22
Furniture,New Zealand,Waikato,Bookcases,239.34,1069.62
Furniture,Romania,Vrancea,Furnishings,8.16,34.2
Furniture,Russia,Voronezh,Tables,238.05,495.99
Furniture,Ukraine,Volyn,Chairs,179.64,408.42
Furniture,Albania,Vlorë,Bookcases,242.85,777.78
Furniture,Russia,Vladimir,Tables,873.36,1782.48
Furniture,Russia,Vladimir,Furnishings,106.71,241.35
Furniture,Belarus,Vitsyebsk,Chairs,81.87,233.58
Furniture,United States,Virginia,Tables,2538.6863,14042.47
Furniture,United States,Virginia,Furnishings,1024.62,4709.43
Furniture,United States,Virginia,Chairs,1362.231,5321.92
Furniture,United States,Virginia,Bookcases,278.7892,1248.13
Furniture,Ukraine,Vinnytsya,Furnishings,104.28,352.44
Furniture,Ukraine,Vinnytsya,Chairs,12.09,48.45
Furniture,Ukraine,Vinnytsya,Bookcases,86.55,196.74
Furniture,Lithuania,Vilnius,Tables,-2750.28,2171.16
Furniture,Lithuania,Vilnius,Chairs,-318.411,138.429
Furniture,Lithuania,Vilnius,Bookcases,-225.474,147.006
Furniture,Cuba,Villa Clara,Furnishings,13.34,88.66
Furniture,Cuba,Villa Clara,Chairs,766,2112.54
Furniture,Cuba,Villa Clara,Bookcases,1465.74,3103.36
Furniture,Austria,Vienna,Tables,341.49,922.95
Furniture,Austria,Vienna,Furnishings,816.18,2623.11
Furniture,Austria,Vienna,Chairs,1197.63,4348.74
Furniture,Austria,Vienna,Bookcases,1175.94,5607.6
Furniture,Australia,Victoria,Tables,-1156.215,8937.285
Furniture,Australia,Victoria,Furnishings,451.8,2883.6
Furniture,Australia,Victoria,Chairs,1997.205,20371.455
Furniture,Australia,Victoria,Bookcases,1298.475,23254.485
Furniture,United States,Vermont,Chairs,178.8,715.2
Furniture,United States,Vermont,Bookcases,1013.127,4404.9
Furniture,Mexico,Veracruz,Tables,203.432,779.712
Furniture,Mexico,Veracruz,Furnishings,-158.152,349.728
Furniture,Mexico,Veracruz,Chairs,1164.828,5685.488
Furniture,Mexico,Veracruz,Bookcases,375.072,3065.792
Furniture,Italy,Veneto,Tables,-435.24,989.04
Furniture,Italy,Veneto,Furnishings,137.25,444.75
Furniture,Italy,Veneto,Chairs,-415.536,467.424
Furniture,Italy,Veneto,Bookcases,1187.19,3894.24
Furniture,Switzerland,Vaud,Furnishings,2.55,264.9
Furniture,Switzerland,Vaud,Bookcases,218.7,591.3
Furniture,Sweden,Västra Götaland,Furnishings,-70.08,94.26
Furniture,Sweden,Västra Götaland,Chairs,-167.535,1234.215
Furniture,Bulgaria,Varna,Bookcases,505.56,1995.96
Furniture,Sweden,Värmland,Furnishings,-85.806,67.284
Furniture,Sweden,Värmland,Bookcases,-12.6,313.35
Furniture,Chile,Valparaíso,Furnishings,1.4,142.56
Furniture,Chile,Valparaíso,Chairs,64.16,178.24
Furniture,Chile,Valparaíso,Bookcases,43,195.46
Furniture,Cote d'Ivoire,Vallee Du Bandama,Tables,106.47,425.91
Furniture,Cote d'Ivoire,Vallee Du Bandama,Furnishings,41.25,129.78
Furniture,Cote d'Ivoire,Vallee Du Bandama,Chairs,357.48,993.06
Furniture,Cote d'Ivoire,Vallee Du Bandama,Bookcases,195.57,391.14
Furniture,Colombia,Valle del Cauca,Tables,-200.08,842.32
Furniture,Colombia,Valle del Cauca,Chairs,21.24,111.88
Furniture,Spain,Valenciana,Furnishings,294.63,1049.34
Furniture,Spain,Valenciana,Chairs,16.458,439.248
Furniture,Spain,Valenciana,Bookcases,506.7,2259.63
Furniture,Finland,Uusimaa,Furnishings,14.58,292.68
Furniture,Finland,Uusimaa,Chairs,206.97,4149.06
Furniture,Finland,Uusimaa,Bookcases,1143.33,4183.23
Furniture,India,Uttarakhand,Tables,652.92,1920.36
Furniture,India,Uttarakhand,Furnishings,24.84,155.25
Furniture,India,Uttarakhand,Bookcases,530.7,4453.95
Furniture,India,Uttar Pradesh,Tables,108.3,1354.95
Furniture,India,Uttar Pradesh,Furnishings,383.31,2031.54
Furniture,India,Uttar Pradesh,Chairs,2237.82,10110
Furniture,India,Uttar Pradesh,Bookcases,1974.36,10549.68
Furniture,Netherlands,Utrecht,Furnishings,-9.648000000,281.952
Furniture,Netherlands,Utrecht,Chairs,-848.91,1295.28
Furniture,Netherlands,Utrecht,Bookcases,-940.29,1895.16
Furniture,United States,Utah,Tables,358.9224,1957.38
Furniture,United States,Utah,Furnishings,54.5709,165.17
Furniture,United States,Utah,Bookcases,218.2624,2699.8
Furniture,Sweden,Uppsala,Chairs,-28.71,159.03
Furniture,Sweden,Uppsala,Bookcases,-457.245,653.175
Furniture,France,Upper Normandy,Tables,-27.1575,588.0225
Furniture,France,Upper Normandy,Furnishings,330.63,964.95
Furniture,France,Upper Normandy,Chairs,1067.205,3664.575
Furniture,France,Upper Normandy,Bookcases,792.087,2383.587
Furniture,Austria,Upper Austria,Furnishings,110.28,314.94
Furniture,Austria,Upper Austria,Bookcases,65.61,437.67
Furniture,Italy,Umbria,Furnishings,53.46,213.84
Furniture,Italy,Umbria,Chairs,-52.128,57.852
Furniture,South Korea,Ulsan,Tables,-344.412,99.828
Furniture,South Korea,Ulsan,Furnishings,47.676,340.776
Furniture,Mongolia,Ulaanbaatar,Furnishings,9.45,45.03
Furniture,Mongolia,Ulaanbaatar,Chairs,72.66,623.1
Furniture,Peru,Ucayali,Tables,-437.68,375.12
Furniture,Peru,Ucayali,Chairs,-57.504,104.496
Furniture,Austria,Tyrol,Furnishings,27.12,87.6
Furniture,Austria,Tyrol,Chairs,111.24,596.79
Furniture,Austria,Tyrol,Bookcases,436.02,1107.18
Furniture,Italy,Tuscany,Tables,-391.8,529.32
Furniture,Italy,Tuscany,Furnishings,207.45,553.47
Furniture,Italy,Tuscany,Chairs,-651.906,675.204
Furniture,Italy,Tuscany,Bookcases,1712.4,4736.91
Furniture,Tunisia,Tunis,Furnishings,2.52,50.58
Furniture,India,Tripura,Furnishings,38.4,113.04
Furniture,India,Tripura,Bookcases,148.98,338.7
Furniture,Italy,Trentino-Alto Adige,Furnishings,5.67,18.93
Furniture,Italy,Trentino-Alto Adige,Chairs,-219.798,369.972
Furniture,Italy,Trentino-Alto Adige,Bookcases,956.43,2183.67
Furniture,Malaysia,Trengganu,Furnishings,27.78,213.84
Furniture,Malaysia,Trengganu,Chairs,64.98,175.77
Furniture,Malaysia,Trengganu,Bookcases,265.05,736.5
Furniture,Turkey,Trabzon,Chairs,-690.3,1104.48
Furniture,Colombia,Tolima,Bookcases,177.7,555.6
Furniture,Japan,Tokyo,Furnishings,55.14,110.28
Furniture,Japan,Tokyo,Chairs,753.09,4378.95
Furniture,Japan,Tokyo,Bookcases,302.88,1350.54
Furniture,Turkey,Tokat,Furnishings,-88.668,136.152
Furniture,Japan,Tochigi,Chairs,144.9,295.95
Furniture,Brazil,Tocantins,Chairs,127,526.96
Furniture,Brazil,Tocantins,Bookcases,174.44,2981.36
Furniture,Vietnam,Tỉnh Cần Thơ,Chairs,-46.4436,614.4264
Furniture,China,Tianjin,Tables,255.795,1119.195
Furniture,China,Tianjin,Furnishings,117,397.38
Furniture,China,Tianjin,Chairs,781.95,3626.28
Furniture,China,Tianjin,Bookcases,1260.09,5887.59
Furniture,Germany,Thuringia,Furnishings,111.33,359.82
Furniture,Germany,Thuringia,Chairs,26.37,983.07
Furniture,Germany,Thuringia,Bookcases,452.508,1530.468
Furniture,Vietnam,Thủ Dô Hà Nội,Tables,-1160.0034,1308.7566
Furniture,Vietnam,Thủ Dô Hà Nội,Furnishings,41.3205,654.7005
Furniture,Vietnam,Thủ Dô Hà Nội,Chairs,-570.6249,2011.0551
Furniture,Vietnam,Thủ Dô Hà Nội,Bookcases,-36.6399,1326.9501
Furniture,Senegal,Thies,Furnishings,7.23,23.4
Furniture,United States,Texas,Tables,-2216.6766,15760.661
Furniture,United States,Texas,Furnishings,-3312.6786,3766.724
Furniture,United States,Texas,Chairs,-2515.649,26572.448
Furniture,United States,Texas,Bookcases,-2391.1377,14493.4588
Furniture,Ukraine,Ternopil',Chairs,11.4,229.56
Furniture,United States,Tennessee,Tables,-2663.4138,6214.356
Furniture,United States,Tennessee,Furnishings,310.6829,1699.248
Furniture,United States,Tennessee,Chairs,150.4254,5074.888
Furniture,United States,Tennessee,Bookcases,-6.323600000,518.24
Furniture,India,Telangana,Furnishings,43.44,101.04
Furniture,India,Telangana,Chairs,1009.92,4234.59
Furniture,India,Telangana,Bookcases,426.63,2575.77
Furniture,Israel,Tel Aviv,Furnishings,16.44,91.68
Furniture,Israel,Tel Aviv,Chairs,241.98,692.76
Furniture,Israel,Tel Aviv,Bookcases,45.06,195.93
Furniture,Turkey,Tekirdag,Chairs,-61.92,51.6
Furniture,Iran,Tehran,Tables,63.66,489.81
Furniture,Iran,Tehran,Furnishings,45.99,194.22
Furniture,Iran,Tehran,Bookcases,677.97,2175.78
Furniture,Georgia,Tbilisi,Furnishings,42.54,138.66
Furniture,Australia,Tasmania,Tables,7.956000000,2527.296
Furniture,Australia,Tasmania,Furnishings,55.938,933.378
Furniture,Australia,Tasmania,Chairs,-29.739000000,5236.761
Furniture,Australia,Tasmania,Bookcases,255.3,2082.54
Furniture,Estonia,Tartumaa,Furnishings,35.82,171.18
Furniture,Bolivia,Tarija,Tables,-121.836,1392.384
Furniture,Bolivia,Tarija,Chairs,94.14,409.86
Furniture,New Zealand,Taranaki,Furnishings,21.96,87.9
Furniture,New Zealand,Taranaki,Chairs,262.68,1771.38
Furniture,New Zealand,Taranaki,Bookcases,135.36,338.4
Furniture,Morocco,Tanger-Tétouan,Tables,456.6,2244.06
Furniture,Morocco,Tanger-Tétouan,Furnishings,107.85,286.17
Furniture,Morocco,Tanger-Tétouan,Chairs,11.55,48.21
Furniture,India,Tamil Nadu,Tables,1145.13,4081.89
Furniture,India,Tamil Nadu,Furnishings,449.07,2250.57
Furniture,India,Tamil Nadu,Chairs,936.99,4629.09
Furniture,India,Tamil Nadu,Bookcases,383.19,5293.59
Furniture,Russia,Tambov,Bookcases,57.09,121.53
Furniture,Mexico,Tamaulipas,Furnishings,-55.8,218.88
Furniture,Mexico,Tamaulipas,Chairs,15.300000000,1947.52
Furniture,Mexico,Tamaulipas,Bookcases,332.928,3790.848
Furniture,Taiwan,Taipei City,Tables,1032.21,3071.19
Furniture,Taiwan,Taipei City,Furnishings,133.77,306.78
Furniture,Taiwan,Taipei City,Chairs,343.29,1402.17
Furniture,Taiwan,Taipei City,Bookcases,153.75,2197.5
Furniture,Saudi Arabia,Tabuk,Tables,925.44,2011.92
Furniture,Saudi Arabia,Tabuk,Furnishings,29.25,103.74
Furniture,Saudi Arabia,Tabuk,Chairs,47.52,529.2
Furniture,Saudi Arabia,Tabuk,Bookcases,30.72,122.97
Furniture,Mexico,Tabasco,Furnishings,-75.8,149.64
Furniture,Mexico,Tabasco,Chairs,3.804,129.104
Furniture,Mexico,Tabasco,Bookcases,102.84,2149.76
Furniture,Yemen,Ta'izz,Tables,-169.719,74.871
Furniture,Yemen,Ta'izz,Furnishings,-19.506,14.994
Furniture,Yemen,Ta'izz,Chairs,-86.898,53.532
Furniture,Bangladesh,Sylhet,Tables,28.35,947.7
Furniture,Uzbekistan,Surxondaryo,Chairs,67.62,187.92
Furniture,Ukraine,Sumy,Bookcases,8.58,287.58
Furniture,Indonesia,Sumatera Utara,Tables,-1196.1387,2779.4313
Furniture,Indonesia,Sumatera Utara,Furnishings,63.3723,1189.5423
Furniture,Indonesia,Sumatera Utara,Chairs,-303.9282,3340.2318
Furniture,Indonesia,Sumatera Utara,Bookcases,374.3907,5081.5107
Furniture,Indonesia,Sumatera Selatan,Tables,-452.8104,3427.1496
Furniture,Indonesia,Sumatera Selatan,Furnishings,79.745700000,457.7757
Furniture,Indonesia,Sumatera Selatan,Chairs,12.2595,915.5295
Furniture,Indonesia,Sumatera Selatan,Bookcases,140.8248,3278.5848
Furniture,Indonesia,Sulawesi Utara,Furnishings,17.7873,148.1973
Furniture,Indonesia,Sulawesi Utara,Bookcases,541.3698,2189.0898
Furniture,Indonesia,Sulawesi Tenggara,Tables,-301.8012,533.1588
Furniture,Indonesia,Sulawesi Tenggara,Furnishings,25.1676,131.4876
Furniture,Indonesia,Sulawesi Tenggara,Chairs,73.9599,335.5299
Furniture,Indonesia,Sulawesi Tenggara,Bookcases,172.9125,1148.7825
Furniture,Indonesia,Sulawesi Tengah,Bookcases,1654.1304,3972.2904
Furniture,Egypt,Suhaj,Tables,137.04,428.34
Furniture,Egypt,Suhaj,Bookcases,1072.44,2615.94
Furniture,Cameroon,Sud-Ouest,Furnishings,5.49,109.98
Furniture,Cameroon,Sud,Chairs,161.07,460.2
Furniture,Venezuela,Sucre,Furnishings,-19.78,31.92
Furniture,Romania,Suceava,Furnishings,16.59,48.87
Furniture,Austria,Styria,Furnishings,216.72,908.58
Furniture,Austria,Styria,Chairs,105.69,357.12
Furniture,Austria,Styria,Bookcases,927.78,2899.89
Furniture,Sweden,Stockholm,Tables,-3422.085,2317.725
Furniture,Sweden,Stockholm,Furnishings,-570.636,573.804
Furniture,Sweden,Stockholm,Chairs,-655.395,1202.325
Furniture,Sweden,Stockholm,Bookcases,-2583.54,4016.7
Furniture,Russia,Stavropol',Furnishings,21.12,163.32
Furniture,Bulgaria,Stara Zagora,Chairs,22.35,58.83
Furniture,Croatia,Splitsko-Dalmatinska,Chairs,9.33,51.93
Furniture,New Zealand,Southland,Chairs,122.7,340.86
Furniture,New Zealand,Southland,Bookcases,630.96,1467.36
Furniture,Israel,Southern,Bookcases,105.84,504.12
Furniture,Democratic Republic of the Congo,South Kivu,Furnishings,1.26,25.29
Furniture,Iran,South Khorasan,Furnishings,14.46,43.89
Furniture,Netherlands,South Holland,Furnishings,40.74,352.32
Furniture,Netherlands,South Holland,Chairs,-752.91,1914.81
Furniture,Netherlands,South Holland,Bookcases,-863.43,1692.27
Furniture,Ireland,South Dublin,Chairs,-7.38,122.13
